City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,hotan,37.0997,79.9269,90.12,26,86,7.47,CN,1722708499
229,turpan,42.9333,89.1667,100.11,13,40,4.63,CN,1722708500
230,stanley,54.868,-1.6985,63.72,58,20,13.8,GB,1722708501
231,hasaki,35.7333,140.8333,77.4,85,54,1.54,JP,1722708503
232,sainyabuli,19.25,101.75,72.52,100,100,1.83,LA,1722708504
233,san patricio,28.017,-97.5169,93.9,48,82,3.83,US,1722708505
234,ust'-kulom,61.6864,53.6902,58.6,98,57,4.25,RU,1722708506
235,bin yauri,10.7823,4.8114,76.53,88,100,4.52,NG,1722708507
236,tazovsky,67.4667,78.7,56.8,82,81,10.02,RU,1722708509
237,rhinelander,45.6366,-89.4121,82.56,42,0,5.75,US,1722708510
238,codrington,-38.2667,141.9667,39.87,92,17,9.01,AU,1722708511
239,santiago de cao,-7.9589,-79.2392,66.33,77,75,6.91,PE,1722708512
240,asahi,35.7167,140.65,77.38,82,38,1.59,JP,1722708513
241,kiffa,16.6166,-11.4045,93.94,45,91,8.03,MR,1722708515
242,shakawe,-18.3667,21.85,69.04,14,0,6.44,BW,1722708516
243,magong,23.5654,119.5863,83.26,87,3,8.59,TW,1722708517
244,san juan bautista,-14.0108,-75.7358,79.32,32,0,5.53,PE,1722708518
245,ingeniero jacobacci,-41.3427,-69.5448,45.18,45,14,30.85,AR,1722708519
246,nguigmi,14.2495,13.1092,84.72,60,97,14.23,NE,1722708521
247,ushtobe,45.2514,77.9838,77.65,26,0,3.02,KZ,1722708522
248,kerema,-7.9631,145.7785,75.54,89,100,1.48,PG,1722708524
249,opuwo,-18.0607,13.84,73.89,21,0,6.87,NA,1722708525
250,uzgen,40.7699,73.3007,75.49,25,75,5.01,KG,1722708527
251,port alfred,-33.5906,26.891,64.18,42,49,12.39,ZA,1722708528
252,badger,64.8,-147.5333,52.05,91,100,4.61,US,1722708530
253,vilyuchinsk,52.9306,158.4028,52.07,90,93,8.14,RU,1722708531
254,tura,25.5198,90.2201,75.34,97,100,5.59,IN,1722708533
255,cockburn town,21.4612,-71.1419,82.67,84,97,18.66,TC,1722708534
256,utrik,11.2278,169.8474,82.35,77,4,5.68,MH,1722708535
257,daru,-9.0763,143.2092,75.09,82,97,17.72,PG,1722708536
258,n'zeto,-7.2312,12.8666,68.49,86,10,9.95,AO,1722708537
259,keflavik,64.0049,-22.5624,59.43,58,81,20.71,IS,1722708539
260,dwarka,22.2394,68.9678,82.49,87,100,20.49,IN,1722708540
261,santa elena de uairen,4.6167,-61.1333,76.84,68,32,6.87,VE,1722708541
262,gisborne,-38.6533,178.0042,44.02,81,88,4.97,NZ,1722708544
263,fomboni,-12.28,43.7425,77.43,69,3,16.49,KM,1722708545
264,wangaratta,-36.3667,146.3333,36.46,98,32,3.06,AU,1722708546
265,mangrol,21.1167,70.1167,81.9,87,100,21.94,IN,1722708547
